_id,Tract,Count
1,42003010300,248
2,42003020100,745
3,42003020300,151
4,42003030500,426
5,42003040200,361
6,42003040400,534
7,42003040500,427
8,42003040600,327
9,42003040900,1046
10,42003050100,551
11,42003050600,834
12,42003050900,94
13,42003051000,92
14,42003060300,884
15,42003060500,483
16,42003070300,602
17,42003070500,697
18,42003070600,535
19,42003070800,342
20,42003070900,948
21,42003080200,687
22,42003080400,353
23,42003080600,479
24,42003080700,239
25,42003080900,439
26,42003090100,832
27,42003090200,1013
28,42003090300,610
29,42003100500,819
30,42003101100,1091
31,42003101400,1297
32,42003101600,183
33,42003101700,647
34,42003101800,1220
35,42003110200,1031
36,42003110600,912
37,42003111300,615
38,42003111400,408
39,42003111500,346
40,42003120300,647
41,42003120400,268
42,42003120700,256
43,42003120800,247
44,42003130100,629
45,42003130200,531
46,42003130300,390
47,42003130400,366
48,42003130600,950
49,42003140100,987
50,42003140200,485
51,42003140300,1022
52,42003140400,889
53,42003140500,536
54,42003140600,1110
55,42003140800,1250
56,42003141000,374
57,42003141100,609
58,42003141300,1111
59,42003141400,1664
60,42003151600,1042
61,42003151700,1975
62,42003160800,1214
63,42003160900,756
64,42003170200,1538
65,42003170600,851
66,42003180300,969
67,42003180700,844
68,42003190300,800
69,42003191100,1139
70,42003191400,1078
71,42003191500,840
72,42003191600,1707
73,42003191700,1442
74,42003191800,2172
75,42003191900,872
76,42003192000,1441
77,42003202200,905
78,42003202300,1202
79,42003210700,818
80,42003220600,614
81,42003240600,990
82,42003241200,430
83,42003250300,539
84,42003250700,262
85,42003250900,424
86,42003260200,869
87,42003260700,657
88,42003260900,26
89,42003261200,473
90,42003261400,953
91,42003261500,586
92,42003262000,920
93,42003270100,981
94,42003270300,650
95,42003270400,460
96,42003270800,1117
97,42003271500,1393
98,42003281400,733
99,42003281500,633
100,42003290100,807
101,42003290200,1436
102,42003290400,1539
103,42003300100,1387
104,42003310200,1480
105,42003310300,422
106,42003320400,825
107,42003320600,977
108,42003320700,733
109,42003401100,1862
110,42003401200,1091
111,42003401300,1179
112,42003402000,1236
113,42003403500,1535
114,42003404000,654
115,42003405000,458
116,42003406000,881
117,42003407001,2104
118,42003407002,2624
119,42003408001,1819
120,42003408002,2265
121,42003409000,4258
122,42003410000,487
123,42003411000,2984
124,42003412001,3194
125,42003412002,1842
126,42003413100,2145
127,42003413201,1393
128,42003413202,1236
129,42003413300,1849
130,42003413400,1662
131,42003413500,1689
132,42003414101,2032
133,42003414102,2421
134,42003414200,2159
135,42003415001,1517
136,42003415002,955
137,42003416000,703
138,42003417100,885
139,42003417200,431
140,42003418000,784
141,42003419000,1171
142,42003420000,525
143,42003421100,1753
144,42003421200,1787
145,42003422000,1910
146,42003423000,966
147,42003424000,1061
148,42003425000,1268
149,42003426300,2516
150,42003426400,1790
151,42003426700,843
152,42003426800,2096
153,42003427000,1320
154,42003427100,2239
155,42003427200,1922
156,42003428100,518
157,42003428200,926
158,42003429100,873
159,42003429201,1458
160,42003429202,1864
161,42003429300,2174
162,42003429400,1795
163,42003429500,1471
164,42003429600,1185
165,42003429700,1033
166,42003430100,788
167,42003430200,1626
168,42003431100,924
169,42003431400,627
170,42003431500,730
171,42003432300,674
172,42003432400,862
173,42003434000,665
174,42003435000,890
175,42003437000,2229
176,42003439000,553
177,42003445500,1350
178,42003446000,622
179,42003447000,593
180,42003448000,495
181,42003449000,1000
182,42003450700,1121
183,42003450800,906
184,42003451101,1566
185,42003451102,1509
186,42003451104,1385
187,42003451105,1259
188,42003451300,2893
189,42003452000,2244
190,42003453003,627
191,42003453004,2052
192,42003455000,581
193,42003456001,1500
194,42003456003,2785
195,42003456004,1671
196,42003457100,466
197,42003457200,1440
198,42003458000,3167
199,42003459101,619
200,42003459102,2080
201,42003459201,2014
202,42003459202,500
203,42003460001,2036
204,42003460002,1371
205,42003461000,422
206,42003462100,1027
207,42003462600,1480
208,42003463900,1030
209,42003464300,1171
210,42003464400,976
211,42003465600,684
212,42003465800,1262
213,42003468700,676
214,42003468800,991
215,42003468900,1137
216,42003469000,1927
217,42003470300,1337
218,42003470400,1293
219,42003470501,1056
220,42003470502,1253
221,42003470600,1082
222,42003471000,527
223,42003472100,790
224,42003472200,732
225,42003472300,640
226,42003472400,746
227,42003473100,1526
228,42003473200,982
229,42003473300,1965
230,42003473401,1089
231,42003473402,1326
232,42003473500,1311
233,42003473601,1329
234,42003473602,1502
235,42003474101,1376
236,42003474102,1339
237,42003474201,927
238,42003474202,1656
239,42003474203,1664
240,42003475101,1485
241,42003475102,678
242,42003475200,1958
243,42003475301,1581
244,42003475303,1613
245,42003475304,1909
246,42003475401,1466
247,42003475402,1106
248,42003476100,1377
249,42003476200,1448
250,42003477100,1681
251,42003477200,1642
252,42003477300,1859
253,42003478100,1371
254,42003478200,2065
255,42003479000,893
256,42003480101,1170
257,42003480102,1241
258,42003480200,1339
259,42003480300,1533
260,42003480400,2094
261,42003481000,1194
262,42003482500,859
263,42003483800,997
264,42003484300,1311
265,42003484500,2131
266,42003484600,808
267,42003485000,537
268,42003486700,636
269,42003486800,732
270,42003486900,694
271,42003487000,607
272,42003488100,981
273,42003488200,1239
274,42003488300,821
275,42003488400,1688
276,42003488500,1055
277,42003488600,1955
278,42003489001,1568
279,42003489002,1383
280,42003490002,1719
281,42003490003,1332
282,42003490004,1892
283,42003491101,2415
284,42003491200,698
285,42003492700,949
286,42003492800,1152
287,42003492900,1196
288,42003494000,524
289,42003495000,1128
290,42003496101,1263
291,42003496102,1784
292,42003496200,2171
293,42003497000,424
294,42003498000,1080
295,42003499300,718
296,42003499400,1056
297,42003500300,1660
298,42003501000,542
299,42003503002,2374
300,42003504100,1820
301,42003507000,829
302,42003508000,650
303,42003509400,1500
304,42003510000,548
305,42003512000,841
306,42003512800,632
307,42003512900,565
308,42003513800,711
309,42003514000,522
310,42003515100,961
311,42003515200,742
312,42003515300,641
313,42003515401,895
314,42003516100,563
315,42003516200,629
316,42003517000,645
317,42003518001,1538
318,42003519000,1507
319,42003520001,1251
320,42003520002,1247
321,42003521100,1864
322,42003521200,1306
323,42003521301,1112
324,42003521302,1121
325,42003521401,957
326,42003521402,1565
327,42003521500,1743
328,42003522000,1085
329,42003523100,1875
330,42003523200,1666
331,42003523300,1698
332,42003523400,2135
333,42003523501,1886
334,42003523502,645
335,42003523600,1896
336,42003523701,1733
337,42003523702,1828
338,42003523800,2011
339,42003524000,831
340,42003525100,957
341,42003525200,678
342,42003525300,780
343,42003526101,2537
344,42003526102,776
345,42003526201,1406
346,42003526202,1660
347,42003526301,1517
348,42003526302,1463
349,42003550900,646
350,42003551200,1095
351,42003551300,1111
352,42003551900,270
353,42003552000,1054
354,42003552100,177
355,42003552200,472
356,42003552300,1080
357,42003552400,1304
358,42003560400,293
359,42003560500,721
360,42003560600,313
361,42003561000,536
362,42003561100,409
363,42003561200,438
364,42003561400,1398
365,42003561500,1230
366,42003561600,765
367,42003561700,299
368,42003561900,796
369,42003562000,325
370,42003562300,1121
371,42003562400,1266
372,42003562500,1091
373,42003562600,1081
374,42003562700,131
375,42003562800,510
376,42003562900,854
377,42003563000,937
378,42003563100,1417
379,42003563200,733
380,42003563300,558
381,42003563800,1344
382,42003563900,1739
383,42003564000,1987
384,42003564100,371
385,42003564200,818
386,42003564400,2381
387,42003564500,1211
388,42003980100,1
389,42003980300,1
390,42003980500,13
391,42003980600,2
392,42003980700,4
393,42003981800,17
394,42007604800,8
395,42007605001,2
396,42019912200,1
397,42125746100,11
398,42125746302,21
399,42125771100,6
400,42125771200,10
401,42129802101,12
402,42129803301,1
403,42129803302,3
